shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,lon,lat
7624,0,0,434644.96570329583,381809.5768323653,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.481236597838336,53.33207001875411
7624,0,1,434693.94462254393,381739.9495691694,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4805087676221353,53.33144099076394
7624,0,2,434630.29376438406,381700.7190261131,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.481468759869552,53.33109253002009
7624,0,3,434641.48875753814,381644.2443239806,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.481306822611985,53.330584188628734
7624,0,4,434521.3639948172,381676.5019627522,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.483106958589513,53.330881952538526
7624,0,5,434465.3640910281,381741.68816161755,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4839407195687162,53.33147150294641
7624,0,6,434423.457174395,381750.59469154995,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.48456898867532,53.331554275761015
7624,0,7,434409.2512126876,381718.5006486624,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.48478576607753,53.33126672567209
7624,0,8,434494.74204739375,381683.5866606631,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4835059135733162,53.33094736189139
7624,0,9,434555.04097545607,381503.33987716545,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4826201270815988,53.32932333002818
7624,0,10,434556.4709739991,381498.21290864423,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4825992139796784,53.32927715425956
7624,0,11,434590.29095768783,381314.73885173316,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4821113937290784,53.327625832947085
7624,0,12,434538.9530848628,381240.1015670358,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4828902716185637,53.326958311775535
7624,0,13,434588.8640049418,381162.81632782484,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.482149344197377,53.32626040058972
7624,0,14,434761.6446471572,381171.81806105905,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4795543715105317,53.326330030259825
7624,0,15,434780.58861591446,381145.3813369338,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4792728534267858,53.32609116886094
7624,0,16,434618.1449833382,381030.0040512497,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4817242021366241,53.32506473601947
7624,0,17,434367.0114910715,381003.69655774214,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4854972574481053,53.32484458492644
7624,0,18,434168.8318333572,380977.2205180407,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4884753161732176,53.32461939570759
7624,0,19,433956.3472345276,380825.24173237185,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4916814974830856,53.3232669880624
7624,0,20,433922.2093004056,380795.7994641463,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.492197122053295,53.323004532638954
7624,0,21,433918.1803082053,380792.23843282467,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4922579853448732,53.3229727822172
7624,0,22,433846.895445711,380731.0678745542,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4933346279359005,53.322427508297174
7624,0,23,433775.5525816693,380675.8092997152,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4944114860314612,53.321935367065414
7624,0,24,433710.2446666623,380764.1243146627,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4953825095529538,53.32273331939267
7624,0,25,433684.288692843,380826.0808323043,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.495765598875437,53.32329185120428
7624,0,26,433834.31641018664,380932.4540825848,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4935020394740643,53.32423843368479
7624,0,27,433806.05244700593,380970.99665389257,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.493922255604823,53.32458666620754
7624,0,28,433834.0523942405,380990.9968884174,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.49349977487006,53.32476465198107
7624,0,29,434093.7899006352,381188.6560126062,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4895792248498663,53.32652466610265
7624,0,30,434187.0517222928,381260.99977256445,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4881712788800625,53.3271689194257
7624,0,31,434222.8506570487,381277.0831046155,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4876320795519287,53.32731117583457
7624,0,32,434213.0516563782,381337.99979320756,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4877726428587008,53.327859345081855
7624,0,33,434262.3905749458,381329.89835383947,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4870327527847838,53.327783346197066
7624,0,34,434263.70656033844,381373.38622188347,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4870083084877752,53.328174143554335
7624,0,35,434329.65443501045,381419.8847799141,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4860131545847235,53.328587827948745
7624,0,36,434243.14951339125,381663.8770218833,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4872856610386709,53.33078648899908
7624,0,37,434275.0074537828,381682.55630642164,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4868053066211717,53.3309523287852
7624,0,38,434262.3054623097,381729.5620100742,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4869909588753494,53.3313756498721
7624,0,39,434309.0163859617,381717.2325612002,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4862909250193785,53.33126181322315
7624,0,40,434345.4003127879,381756.2728279807,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4857404037546165,53.33161036684824
7624,0,41,434232.051471926,381880.9981701674,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4874289143954433,53.33273875467378
7624,0,42,434214.33849597606,381903.724899483,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4876924369764721,53.332944170915766
7624,0,43,434261.05140702036,381935.99730334216,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4869875381730915,53.33323123296602
7624,0,44,434415.6191854421,381768.1685508332,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4846847738729396,53.33171274286887
7624,0,45,434439.07011806953,381835.9435738787,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4843253124406544,53.33232040443551
7624,0,46,434556.8218908567,381785.9409795272,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4825626674682095,53.33186331637826
7624,0,47,434594.4487973893,381843.26719128585,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4819914542896948,53.3323761311123
7624,0,48,434570.0818259933,381918.766689936,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4823491212499347,53.333056329608304
7624,0,49,434615.98370150424,382025.7868381622,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4816482221870109,53.33401526724299
7624,0,50,434698.3865564997,381941.0029798761,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4804201240791142,53.33324782685945
7624,0,51,434694.2455831709,381876.6121396872,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4804893320609398,53.332669333969726
7624,0,52,434647.05068330886,381865.00267750147,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.4811992498438982,53.33256806634015
7624,0,53,434644.96570329583,381809.5768323653,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739,-1.481236597838336,53.33207001875411
7625,0,0,434345.4003127879,381756.2728279807,7626,E01007824,Sheffield 066A,Sheffield 066A,345345.710999,3626.741315930104,-1.4857404037546165,53.33161036684824
7625,0,1,434309.0163859617,381717.2325612002,7626,E01007824,Sheffield 066A,Sheffield 066A,345345.710999,3626.741315930104,-1.4862909250193785,53.33126181322315
